,cluster_id,cluster_terms
54,67,exemption certain;annual operating;expectation investor;sanction investigation;choosing;subject sanction investigation;combined voting;decline substantially;cause fail meet;effort successful;freely;stock security convertible;freely tradable;addition section;investor may lose;offset taxable income;firm required;stockholder elect director;identify material;regulatory authority require;effect trading price;public company required;company within meaning;control analyst;analyst may;corporation engaging;report market;majority board;offset taxable;incurred continue incur;majority voting;related ownership common;identified material weakness;tradable;lock;decline subject;effect trading;maintain internal control;stock term;would benefit;cost acquiring;incurred continue;ipo;market cause;sale may occur;combined voting power;equity debt security
55,75,director issue;document delaware law;advance notice;advance notice requirement;document delaware;provision section;stockholder action;section 203;203;board director issue;period three year;check
56,84,employee agent;anti bribery;criminal civil;anti corruption anti;anti bribery anti;corruption anti;local custom;bribery anti;criminal civil sanction;anti corruption;uk bribery act;intermediary making improper;civil sanction
57,71,carryforwards;tax attribute may;pre change net;change net operating;pre change tax;corporation undergoes;loss carryforwards;corporation ability pre;loss carryforwards certain;attribute;pre change;certain tax attribute;corporation undergoes ownership;attribute may;change generally;offset future;carryforwards certain tax;undergoes ownership change;tax attribute;operating loss carryforwards;generally defined greater;undergoes;change tax attribute;carryforwards certain;ability pre;undergoes ownership;ability pre change;equity ownership
58,66,state court;maintain proper;bylaw provide;exclusive forum provision;concurrent;suit brought;united state america;court united state;action arising;court would;act rule regulation;federal district;court united;cause action;state america;federal district court;claim federal
59,74,restated bylaw;certificate incorporation amended;incorporation amended restated;amended restated certificate;incorporation amended;amended restated bylaw
60,60,increase legal;incur private;requirement public;compliance cost make;company incur significant;increase legal financial;cost make;devote substantial time;incur private company;accounting expense incur;make activity;requirement nasdaq;new compliance;required devote substantial;substantial amount time
61,62,control procedure internal;subject reporting requirement;procedure internal;reporting requirement exchange;management oversight;act sarbanes;system resource;procedure internal control;subject reporting;act sarbanes oxley;effective disclosure control
62,72,difficult may;responsible appointing;frustrate;management making;responsible appointing member;replace member;appointing;appointing member management;replace member board;current management;director responsible appointing;attempt stockholder;appointing member
63,45,end 2021;kingdom financial;financial conduct;offered rate libor;kingdom financial conduct;libor announced;united kingdom financial
64,61,expensive obtain;make difficult expensive;obtain director officer;person serve;accept reduced;qualified person;insurance may required;expensive obtain director;coverage incur;obtain director;substantially higher;required accept;difficult expensive obtain;also make difficult;also make
65,42,36table;37table;40table;44table;43table
66,100,reporting company;audit firm;audited financial;audited;providing additional;rotation;smaller reporting;audited financial statement;certain disclosure;auditor report;smaller reporting company
67,2,comply pharmaceutical industry;payment transfer value;guidance promulgated;guideline relevant compliance;compliance guideline relevant;physician payment;relevant compliance guidance;industry voluntary compliance;drug device;physician healthcare;federal physician;sunshine;report annually;compliance guideline;law require pharmaceutical;ownership investment interest;compliance guidance promulgated;pharmaceutical company comply;compliance guidance;require drug;ownership investment;industry voluntary;pharmaceutical industry voluntary;guideline relevant;transfer value;require pharmaceutical company;teaching;voluntary compliance;related payment;medical supply;value physician;related payment transfer;transfer value physician;relevant compliance;voluntary compliance guideline;manufacturer drug;medicaid childrens health;manufacturer report information;health insurance program;information related payment;payment transfer;manufacturer report;guidance promulgated federal;report information related;company comply pharmaceutical;promulgated federal government;manufacturer drug device;comply pharmaceutical;teaching hospital;medicare medicaid childrens;medicaid childrens;physician healthcare provider;promulgated federal
68,86,tax cut job;tax cut;job act tax;act tax;cut job act;job act;tax act;cut job;cut;act tax act
69,82,interpreted applied;employee third party;require significant time;regulatory enforcement;protection information;privacy data;sophistication;treasury department;office foreign;hacking;perceived failure comply;regulatory enforcement action;phishing attack;privacy data protection;system third party;target may;third party system;system infrastructure;significant time resource;significant fine penalty;phishing;action material;significant fine;employee third
70,34,company accounting oversight;oversight board;accounting oversight board;public company accounting;accounting oversight
71,36,seek additional capital;compelled;available funding;become available;expend time;prior expiration;reduce number;may brought;may instead;identifying potential;depend among;prohibits person;locate;approval applicable;term would;achieve compliance;resource available;able negotiate;shortened;potential target;shorten;risk increase;consequently may;may viewed;wish;result issuance;enter agreement third;definitive agreement;approval holder;increase ability;meet criterion;contemplate;expense capital expenditure;resolved favor
72,92,sole exclusive;duty owed;certain type action;owed director;forum certain;exclusive forum certain;officer employee stockholder;type action proceeding;claim breach fiduciary;matter jurisdiction;sole exclusive forum;state delaware sole;asserting claim breach;duty owed director;delaware sole;type action;employee stockholder;arising pursuant provision;owed director officer;delaware sole exclusive;claim breach;fiduciary duty owed
73,96,jumpstart startup act;jumpstart;startup act;jumpstart startup;act job;act job act
74,58,unenforceable action;forum provision contained;find choice;resolving action;provision contained;court find choice;action may incur;find choice forum;inapplicable unenforceable action;unenforceable action may;action jurisdiction;resolving action jurisdiction;associated resolving action
75,70,stockholder must;cumulative voting;cumulative voting election;attempting obtain;annual special meeting;vacancy;nominate candidate;fill vacancy;voting election;director fill vacancy;vacancy board;ability board director;otherwise attempting obtain;may called;director fill;otherwise attempting;attempting obtain control;deter potential;nominate;annual special;notice procedure;meeting stockholder may
76,78,obtain unauthorized access;technique obtain unauthorized;obtain unauthorized;adequate preventative measure;preventative measure;adequate preventative;implement adequate;implement adequate preventative;technique obtain
77,68,licensed third party;guidance provided;volatile subject;volatile subject wide;party technology;file registration statement;competitor third party;compliance activity;may never occur;make difficult evaluate;wide fluctuation response;licensed third;difficult evaluate;continuing uncertainty;new guidance;time new;competitor third;longer operating history;third party technology;longer operating;file registration;never occur
78,80,laundering law;anti money;laundering;money laundering law;suspicious;usa patriot act;anti money laundering;money laundering;usa patriot
79,23,property right extent;defending claim;addition law foreign;even successful;law foreign country;monetary damage may;right personnel;inadvertently;valuable intellectual property;valuable intellectual;litigation may necessary;paying cash;litigation result substantial;law foreign;subject claim employee;property right personnel;secret proprietary information;even successful defending
80,88,privacy act ccpa;california consumer privacy;act ccpa;consumer privacy act;california consumer;privacy act;ccpa
81,9,strong united;inadequate obtain;protection particularly;obtained patent;certain developing country;property develop;certain developing;issuing provoke;would prohibitively expensive;prohibitively;export otherwise infringing;country throughout;may technology;advantage intellectual property;effort attention;accordingly effort enforce;would prohibitively;developing country;able protect;issuing provoke third;prohibitively expensive;may able protect;able prevent third;prevail lawsuit initiate;party assert;country protect intellectual;otherwise infringing;effort enforce intellectual;risk issuing provoke;may export otherwise;certain country particularly;advantage intellectual;patent right foreign;strong united state;significant commercial advantage;may technology jurisdiction;may export;may inadequate obtain;country throughout world;particularly certain developing;inadequate obtain significant;competitor may technology;divert effort attention;jurisdiction result;country particularly certain;product violation;commercial advantage intellectual;obtain significant commercial;right around world;developing country favor;export otherwise;intellectual property develop;third party assert;right around;world may inadequate
82,5,medicare payment several;per fiscal;proposed adopted;budget control act;limitation period;payment several;statute limitation;spending reduction;provider per fiscal;act among;per fiscal year;thing reduced medicare;medicare payment provider;budget control;payment provider per;payment provider;act among thing;reduction medicare payment;addition legislative;provider per
83,17,experienced extreme volatility;volatility often unrelated;extreme volatility often;performance particular;extreme volatility;performance particular company;operating performance particular
84,55,company fail;cease coverage company;stock influenced research;lose visibility financial;visibility financial;influenced research;influenced research report;common stock influenced;stock influenced;coverage company fail;visibility financial market;lose visibility
85,13,slow unable;likelihood nature;may achieve sustain;either united;change additional;enacted prevent;unable adapt change;adapt change;either united state;obtained may;slow unable adapt;may enacted prevent
86,91,entity purchasing;deemed notice consented;purchasing otherwise acquiring;purchasing otherwise;person entity purchasing;notice consented;acquiring interest;shall deemed;otherwise acquiring interest;entity purchasing otherwise;deemed notice;consented;otherwise acquiring;interest share
87,65,control reporting;system procedure;management control reporting;reporting system procedure;control reporting system
88,24,due failure adhere;compromised due;data obtain;data obtain compromised;failure adhere;obtain compromised due;quality accuracy;protocol regulatory;requirement reason;protocol regulatory requirement;obtain compromised;compromised due failure
89,56,inaccurate unfavorable;regularly demand;publish research publish;report regularly demand;publish report regularly;inaccurate unfavorable research;report security;research report security;stock decrease;report regularly;publish inaccurate;publish inaccurate unfavorable;unfavorable research
90,29,extent permitted;fullest extent;extent permitted law;fullest extent permitted;fullest;permitted law
91,63,consolidation sale substantially;submitted stockholder;matter submitted stockholder;submitted stockholder approval;matter submitted
92,73,requiring stockholder;requiring stockholder approval;matter requiring stockholder;matter requiring
93,3,payment healthcare benefit;falsifying concealing covering;willfully falsifying;falsifying concealing;fact making materially;making materially false;knowingly willfully falsifying;material fact making;falsifying;concealing covering;concealing;delivery payment healthcare;statement connection delivery;fact making;connection delivery payment;materially false;making materially;willfully falsifying concealing
94,76,uncertain cannot;uncertain cannot predicted;depend future;highly uncertain cannot;development highly;development highly uncertain;future development highly;depend future development
95,35,high degree risk;involves high;involves high degree
96,81,among thing ability;may take longer;take longer;thing ability;time frame;frame
97,64,investor willing;opportunity stockholder;price investor willing;investor willing pay;premium share common;stockholder receive
98,30,contained annual report;information contained annual;contained annual
99,41,case basis;case case;case case basis
